start_ip,end_ip,asn,name,domain
13.8.0.0,13.8.255.255,AS26662,XEROX CORPORATION,xerox.com
13.10.0.0,13.10.255.255,AS26662,XEROX CORPORATION,xerox.com
13.13.0.0,13.15.255.255,AS22390,XEROX CORPORATION,xerox.com
13.16.0.0,13.17.255.255,AS26662,XEROX CORPORATION,xerox.com
13.20.0.0,13.21.255.255,AS395959,XEROX CORPORATION,xerox.com
13.32.0.0,13.32.16.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.18.0,13.32.39.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.47.0,13.32.47.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.59.0,13.32.59.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.63.0,13.32.71.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.80.0,13.32.87.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.92.0,13.32.92.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.98.0,13.32.106.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.110.0,13.32.110.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.112.0,13.32.123.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.130.0,13.32.135.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.138.0,13.32.138.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.140.0,13.32.146.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.148.0,13.32.239.255,AS16509,"Amazon.com, Inc.",amazon.com
13.32.242.0,13.33.6.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.12.0,13.33.23.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.28.0,13.33.45.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.47.0,13.33.47.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.56.0,13.33.59.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.62.0,13.33.63.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.76.0,13.33.79.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.88.0,13.33.94.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.96.0,13.33.110.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.112.0,13.33.173.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.175.0,13.33.187.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.189.0,13.33.207.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.216.0,13.33.231.255,AS16509,"Amazon.com, Inc.",amazon.com
13.33.248.0,13.33.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.0.0,13.35.7.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.11.0,13.35.11.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.24.0,13.35.25.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.27.0,13.35.42.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.44.0,13.35.55.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.57.0,13.35.104.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.120.0,13.35.127.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.137.0,13.35.167.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.169.0,13.35.183.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.185.0,13.35.191.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.193.0,13.35.199.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.201.0,13.35.231.255,AS16509,"Amazon.com, Inc.",amazon.com
13.35.233.0,13.43.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.48.0.0,13.61.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.64.0.0,13.95.255.255,AS8075,Microsoft Corporation,microsoft.com
13.100.10.0,13.100.11.255,AS3741,Dimension Data,is.co.za
13.104.0.0,13.107.2.255,AS8075,Microsoft Corporation,microsoft.com
13.107.3.0,13.107.7.255,AS8068,Microsoft Corporation,microsoft.com
13.107.8.0,13.107.8.255,AS8075,Microsoft Corporation,microsoft.com
13.107.9.0,13.107.9.255,AS8068,Microsoft Corporation,microsoft.com
13.107.10.0,13.107.11.255,AS8075,Microsoft Corporation,microsoft.com
13.107.12.0,13.107.13.255,AS8068,Microsoft Corporation,microsoft.com
13.107.14.0,13.107.14.255,AS8075,Microsoft Corporation,microsoft.com
13.107.15.0,13.107.16.255,AS8068,Microsoft Corporation,microsoft.com
13.107.17.0,13.107.17.255,AS8075,Microsoft Corporation,microsoft.com
13.107.18.0,13.107.19.255,AS8068,Microsoft Corporation,microsoft.com
13.107.20.0,13.107.20.255,AS8075,Microsoft Corporation,microsoft.com
13.107.21.0,13.107.22.255,AS8068,Microsoft Corporation,microsoft.com
13.107.23.0,13.107.38.255,AS8075,Microsoft Corporation,microsoft.com
13.107.39.0,13.107.40.255,AS8068,Microsoft Corporation,microsoft.com
13.107.41.0,13.107.41.255,AS8075,Microsoft Corporation,microsoft.com
13.107.42.0,13.107.43.255,AS8068,Microsoft Corporation,microsoft.com
13.107.44.0,13.107.47.255,AS8075,Microsoft Corporation,microsoft.com
13.107.48.0,13.107.52.255,AS8068,Microsoft Corporation,microsoft.com
13.107.53.0,13.107.53.255,AS8075,Microsoft Corporation,microsoft.com
13.107.54.0,13.107.54.255,AS8068,Microsoft Corporation,microsoft.com
13.107.55.0,13.107.55.255,AS8075,Microsoft Corporation,microsoft.com
13.107.56.0,13.107.56.255,AS8068,Microsoft Corporation,microsoft.com
13.107.57.0,13.107.127.255,AS8075,Microsoft Corporation,microsoft.com
13.107.128.0,13.107.129.255,AS8068,Microsoft Corporation,microsoft.com
13.107.130.0,13.107.136.255,AS8075,Microsoft Corporation,microsoft.com
13.107.137.0,13.107.137.255,AS8068,Microsoft Corporation,microsoft.com
13.107.138.0,13.107.138.255,AS8075,Microsoft Corporation,microsoft.com
13.107.139.0,13.107.140.255,AS8068,Microsoft Corporation,microsoft.com
